name,Longitude,Latitude,Cluster
Sri Lanka,80.70108238,7.61266509,1
Lesotho,28.22723131,-29.58003188,1
Lithuania,23.88719355,55.32610984,3
Luxembourg,6.07182201,49.76725361,3
Latvia,24.91235983,56.85085163,3
Macao,113.5093212,22.22311688,2
St-Martin,-63.05972851,18.08888611,4
Morocco,-8.45615795,29.83762955,3
Monaco,7.40627677,43.75274627,3
Moldova,28.45673372,47.19498804,3
Madagascar,46.70473674,-19.37189587,1
Maldives,73.45713004,3.7287092,1
Mexico,-102.5234517,23.94753724,4
Marshall Is.,170.3397612,7.00376358,2
Macedonia,21.68211346,41.59530893,3
Mali,-3.54269065,17.34581581,3
Malta,14.40523316,35.92149632,3
Myanmar,96.48843321,21.18566599,2
Montenegro,19.23883939,42.78890259,3
Mongolia,103.0529977,46.82681544,2
N. Mariana Is.,145.6196965,15.82927563,2
Mozambique,35.53367543,-17.27381643,1
Mauritania,-10.34779815,20.25736706,3
Montserrat,-62.18518546,16.73941406,4
Mauritius,57.57120551,-20.27768704,1
Malawi,34.28935599,-13.21808088,1
Malaysia,109.6976228,3.78986846,2
Namibia,17.20963567,-22.13032568,1
New Caledonia,165.6849237,-21.29991806,2
Niger,9.38545882,17.41912493,3
Norfolk Island,167.9492168,-29.0514609,2
Nigeria,8.08943895,9.59411452,3
Nicaragua,-85.0305297,12.84709429,4
Niue,-169.8699468,-19.04945708,0
Netherlands,5.28144793,52.1007899,3
Norway,15.34834656,68.75015572,3
Nepal,83.9158264,28.24891365,1
Nauru,166.9325682,-0.51912639,2
New Zealand,171.4849235,-41.81113557,2
Oman,56.09166155,20.60515333,1
Pakistan,69.33957937,29.9497515,1
Panama,-80.11915156,8.51750797,4
Pitcairn Is.,-128.317042,-24.36500535,0
Peru,-74.38242685,-9.15280381,4
Philippines,122.8839325,11.77536778,2
Palau,134.4080797,7.28742784,2
Papua New Guinea,145.2074475,-6.46416646,2
Poland,19.39012835,52.12759564,3
Puerto Rico,-66.47307604,18.22813055,4
Dem. Rep. Korea,127.1924797,40.15350311,2
Portugal,-8.50104361,39.59550671,3
Paraguay,-58.40013703,-23.22823913,4
Palestine,35.19628705,31.91613893,1
Fr. Polynesia,-144.9049439,-14.72227409,0
Qatar,51.18479632,25.30601188,1
Romania,24.97293039,45.85243127,3
Russia,96.68656112,61.98052209,2
Rwanda,29.91988515,-1.99033832,1
W. Sahara,-12.21982755,24.22956739,3
Saudi Arabia,44.53686271,24.12245841,1
Sudan,29.94046812,15.99035669,1
S. Sudan,30.24790002,7.30877945,1
Senegal,-14.4734924,14.36624173,3
Singapore,103.8172559,1.35876087,2
S. Geo. and S. Sandw. Is.,-36.43318388,-54.46488248,4
Saint Helena,-9.54779416,-12.40355951,3
Solomon Is.,159.6328767,-8.92178022,2
Sierra Leone,-11.79271247,8.56329593,3
El Salvador,-88.87164469,13.73943744,4
San Marino,12.45922334,43.94186747,3
Somaliland,46.25198395,9.73345496,1
Somalia,45.70714487,4.75062876,1
St. Pierre and Miquelon,-56.30319779,46.91918789,4
Serbia,20.78958334,44.2215032,3
Ṣo Tom̩ and Principe,6.72429658,0.44391445,3
Suriname,-55.9123457,4.13055413,4
Slovakia,19.47905218,48.70547528,3
Slovenia,14.80444238,46.11554772,3
Sweden,16.74558049,62.77966519,3
Swaziland,31.4819369,-26.55843045,1
Sint Maarten,-63.05713363,18.05081728,4
Seychelles,55.47603279,-4.66099094,1
Syria,38.50788204,35.02547389,1
Turks and Caicos Is.,-71.97387881,21.83047572,4
Chad,18.64492513,15.33333758,3
Togo,0.96232845,8.52531356,3
Thailand,101.0028813,15.11815794,2
Tajikistan,71.01362631,38.5304539,1
Turkmenistan,59.37100021,39.11554137,1
Timor-Leste,125.8443898,-8.82889162,2
Tonga,-174.8098734,-20.42843174,0
Trinidad and Tobago,-61.26567923,10.45733408,4
Tunisia,9.55288359,34.11956246,3
Turkey,35.16895346,39.0616029,3
Taiwan,120.9542728,23.7539928,2
Tanzania,34.81309981,-6.27565408,1
Uganda,32.36907971,1.27469299,1
Ukraine,31.38326469,48.99656673,3
Uruguay,-56.01807053,-32.79951534,4
United States,-112.4616737,45.6795472,4
Uzbekistan,63.14001528,41.75554225,1
Vatican,12.43387177,41.90174985,3
St. Vin. and Gren.,-61.20129695,13.22472269,4
Venezuela,-66.18184123,7.12422421,4
British Virgin Is.,-64.47146992,18.52585755,4
U.S. Virgin Is.,-64.80301538,17.95500624,4
Vietnam,106.299147,16.6460167,2
Vanuatu,167.6864464,-16.22640909,2
Wallis and Futuna Is.,-177.3483483,-13.88737039,0
Samoa,-172.1648506,-13.75324346,0
Yemen,47.58676189,15.90928005,1
South Africa,25.08390093,-29.00034095,1
Zambia,27.77475946,-13.45824152,1
Zimbabwe,29.8514412,-19.00420419,1
